trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
265,False,"{'a': 0.355, 'e': 0.0706512130604296}",20,15,7.668866067976559,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.355, 'e': 0.06994822174465536}",20,1,32.9560318110169,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.355, 'e': 0.06925222530934598}",30,11,29.399331907487834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.355, 'e': 0.06856315415427791}",30,16,9.575501714336584,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.355, 'e': 0.06788093937176144}",30,11,33.82817529644597,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.355, 'e': 0.06720551273974976}",25,18,10.194681707231386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.355, 'e': 0.06653680671501686}",20,12,13.372689432123673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.355, 'e': 0.06587475442640295}",20,15,4.4790167568673915,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.355, 'e': 0.06521928966812753}",25,11,12.337864521188985,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.355, 'e': 0.06457034689316847}",20,13,10.761641705031582,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.355, 'e': 0.06392786120670757}",20,12,15.773352918128488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.355, 'e': 0.0632917683596407}",20,7,17.171306384978156,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.355, 'e': 0.06266200474215315}",20,9,15.45357861466799,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.355, 'e': 0.06203850737735829}",25,15,19.9396832097468,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.355, 'e': 0.06142121391500013}",25,12,15.841111083063362,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.355, 'e': 0.060810062625217945}",20,10,15.38277414952982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.355, 'e': 0.06020499239237355}",20,16,7.685303736896609,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.355, 'e': 0.05960594270893936}",20,14,11.53703779406142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.355, 'e': 0.059012853669447835}",20,7,20.36254306422489,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.355, 'e': 0.05842566596450083}",30,22,14.19524380790686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.355, 'e': 0.05784432087483846}",25,10,25.340454794643197,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.355, 'e': 0.05726876026546735}",25,14,20.378157858749503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.355, 'e': 0.05669892657984691}",20,16,7.207730111048981,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.355, 'e': 0.056134762834133725}",20,13,11.66060929201437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.355, 'e': 0.05557621261148306}",25,12,25.811573855162038,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.355, 'e': 0.05502322005640723}",25,13,22.354321293877867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.355, 'e': 0.05447572986918986}",20,13,12.436169575998056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,33.23940112005657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.618080201816644,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,29.978907630212923,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,18,16.50685392053242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,4,23.3166170168841,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,12.430874635151222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,19,13.90527671426127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,16,6.355969739505488,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,18.94816221475769,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,9,31.775948578734962,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
