trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.355, 'e': 0.7117703227626098}",20,8,-79.30013011535571,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 2}",1
35,False,"{'a': 0.355, 'e': 0.7046880897187134}",20,16,6.7261305144125725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.355, 'e': 0.6976763260710311}",30,12,-101.88787540749175,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
37,False,"{'a': 0.355, 'e': 0.6907343306373547}",25,0,-97.19807924702417,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.355, 'e': 0.6838614092123559}",25,11,-11.25181529819958,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.355, 'e': 0.6770568744981647}",30,12,3.3531587547800763,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.355, 'e': 0.6703200460356393}",30,24,8.445500204174198,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.355, 'e': 0.6636502501363193}",35,19,-88.85848187826853,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 2}",1
42,False,"{'a': 0.355, 'e': 0.6570468198150569}",25,0,-28.693603098422848,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.355, 'e': 0.6505090947233165}",25,17,-13.161119234738596,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.355, 'e': 0.6440364210831414}",20,0,-181.94395783143284,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
45,False,"{'a': 0.355, 'e': 0.6376281516217732}",20,0,-134.20302015861193,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.355, 'e': 0.631283645506926}",20,8,-14.32600883303599,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.355, 'e': 0.6250022682827008}",20,0,-103.30394745398372,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.355, 'e': 0.6187833918061408}",25,9,-25.450577224347203,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.355, 'e': 0.6126263941844161}",20,0,-3.7626824421845724,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.355, 'e': 0.6065306597126334}",30,0,-72.74546310836944,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.355, 'e': 0.6004955788122659}",20,12,-28.236156571270136,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.355, 'e': 0.5945205479701943}",25,13,-41.360989906649834,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.355, 'e': 0.5886049696783552}",20,0,-59.216771316874876,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.355, 'e': 0.5827482523739896}",30,0,-40.53604855375767,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.355, 'e': 0.5769498103804866}",30,0,-44.271109037223376,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.355, 'e': 0.5712090638488149}",20,13,6.87075895421657,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.355, 'e': 0.5655254386995371}",25,14,-7.592023156494259,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.355, 'e': 0.559898366565402}",30,7,-13.521366706559618,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.355, 'e': 0.554327284734507}",20,0,-50.75336400253268,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.355, 'e': 0.5488116360940265}",20,0,-208.00138792365263,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
61,False,"{'a': 0.355, 'e': 0.5433508690744998}",25,0,-83.76677133345196,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.355, 'e': 0.5379444375946745}",20,6,2.0639804628161142,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
